Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2900009155273,,,,,,,,,,96.8199996948242,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8499984741211,57.25,57.5999984741211,58.1500015258789,58.1800003051758,58.4599990844727,58.8800010681152,59.3400001525879,59.8699989318848,60.3600006103516,61.060001373291,61.2700004577637,62.1500015258789,62.6699981689453,63.1599998474121,63.8400001525879,64.3300018310547,64.5699996948242,63.939998626709,61.9500007629395,62.9700012207031,63.2299995422363,63.9599990844727,64.7099990844727,66.8300018310547,68.5199966430664,69.370002746582,69.8300018310547,70.2399978637695,70.9599990844727,70.879997253418,71.6699981689453,72.8000030517578,72.9800033569336,72.7200012207031,73.0599975585938,73.370002746582,73.6999969482422,
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,18.1599998474121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4500007629394,,,,33.75,,,,,36.0149650316607,37.2700004577637,,,,
Africa Western and Central,AFW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,40.2299995422363,40.5099983215332,41.2799987792969,41.9599990844727,42.7599983215332,43.5400009155273,44.3499984741211,45.1399993896484,45.9799995422363,46.8600006103516,47.0400009155273,47.9000015258789,48.9099998474121,50.2900009155273,51.1500015258789,47.6199989318848,48.8199996948242,49.560001373291,50.1399993896484,51.4900016784668,51.6100006103516,52.2999992370605,50.2999992370605,50.75,50.8499984741211,51.3899993896484,52.439998626709,53,53.8400001525879,54.5400009155273,55.4099998474121,55.8699989318848,56.8800010681152,60.3499984741211,60.1399993896484,60.25,60.5099983215332,60.7799987792969,61.0299987792969,61.1699981689453,
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4100036621094,,,,,,,,,,,,,66.0299987792969,66.2399978637695,,,,,,,,68.1800003051758,,
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7099990844727,,,,,,,95.9400024414062,,,96.8499984741211,97.25,,,,,98.8099975585938,,,,,,97.6800003051758,,
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,48.3199996948242,48.8499984741211,49.3800010681152,50.0900001525879,50.2000007629395,50.9500007629395,51.689998626709,52.4300003051758,53.1599998474121,54.0900001525879,55,55.9700012207031,56.8699989318848,57.8499984741211,58.5299987792969,59.3300018310547,60.1699981689453,61.1800003051758,62.1800003051758,63.2799987792969,64.25,65.1600036621094,66.25,67.2900009155273,69.9899978637695,70.8600006103516,71.4300003051758,69.2099990844727,70.0400009155273,70.9000015258789,71.9499969482422,72.5599975585938,74.2900009155273,75.1699981689453,76.2200012207031,76.3099975585938,77.1500015258789,75.9199981689453,76.5899963378906,76.9100036621094,77.1500015258789,77.5599975585938,77.870002746582,78.2699966430664,78.620002746582,78.9899978637695,
United Arab Emirates,ARE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,53.5099983215332,,,,,,,,,,71.2399978637695,,,,,,,,,,,,,,,,,,,,90.0299987792969,,,,,,,,,,,,,,97.7799987792969,,98.129997253418,98.2900009155273,98.0599975585938,98.8099975585938,
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,93.9100036621094,,,,,,,,,,,96.0400009155273,,,,,,,,,,97.1900024414062,,,,,,,,,,,,,,,,,,,99.1399993896484,,,,,
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.75,,,,,,,,,,,,99.4000015258789,,,,,,,,,,99.7399978637695,,,,,99.7399978637695,99.7399978637695,100,100,99.7900009155273,,99.8199996948242,99.8399963378906,,
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,97.3399963378906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9499969482422,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7900009155273,,,,,,,,99.5899963378906,,99.7600021362305,99.7699966430664,99.7799987792969,99.7799987792969,99.7900009155273,99.7900009155273,99.7900009155273,99.7900009155273,99.7900009155273,,99.8000030517578,,,,99.7799987792969,,
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,22.5100002288818,,,,,,,,,,,37.3800010681152,,,,,,,,,,59.2999992370605,,,,,,,,48.0800018310547,,,,,,61.2900009155273,,65.6900024414062,68.379997253418,,,71.3374789737041,,,,,
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,16.4799995422363,,,,,,,,,,,,,27.25,,,,,,,,,,34.6599998474121,,,,,,,,,44.6881229256471,,45.0800018310547,,,,38.8699989318848,,49,,43.8300018310547,51.3800010681152,,,
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,8.82999992370605,,,,,,,,,,,,,,,,13.5699996948242,,,,,12.8500003814697,,,,,,,21.8199996948242,,23.5200004577637,22.4699993133545,27.8799991607666,,,,,,,34.5999984741211,,,,39.3499984741211,29.6599998474121,,36.9700012207031,40.9199981689453,41.5670909952631,,
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,29.2299995422363,,,,,,,,,,35.3199996948242,,,,,,,,,,47.4900016784668,,,,,,,,,,58.7700004577637,57.8600006103516,61.0200004577637,61.0900001525879,65.1399993896484,72.7600021362305,72.8899993896484,73.9100036621094,74.6800003051758,74.9100036621094,76.3600006103516,79,,,
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1999969482422,,,,,,,,,,98.3499984741211,,,,,,,,,,,,,,
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,69.75,,,,,,,,,,84.0100021362305,,,,,,,,,,86.5500030517578,,,,,,,,,,,,,,,,,,,,,97.870002746582,97.8499984741211,97.8199996948242,
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0599975585938,,,,,,,,,96.6600036621094,,,,,,,,,,,,,96.9899978637695,,,,,,,,,,,,
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.879997253418,,,,,,,,,,99.5899963378906,,,,,,,,,,99.620002746582,,,,,,,,,,99.870002746582,,,,,,
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3000030517578,,,,,,,,,76.9000015258789,,,,,,,,,,,,,,,90.9199981689453,,,,,,,87.879997253418,,,
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,63.2099990844727,,,,,,,,,,,,,,,,79.9899978637695,,,,,,,,,86.7200012207031,,,,,,90.2900009155273,90.6999969482422,91.1699981689453,,92.2300033569336,94.4599990844727,,,92.4599990844727,,,,,93.8499984741211,,,95.5500030517578,96.7300033569336,
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,74.5899963378906,,,,,,,,,,,,,,,,,,,,86.370002746582,,,,88.620002746582,,89.620002746582,90.0100021362305,90.0400009155273,90.3000030517578,90.379997253418,91.4100036621094,91.3399963378906,91.4800033569336,91.7300033569336,92.0500030517578,92.8099975585938,93.0800018310547,93.2300033569336,93.8926266999537,94.7444114331042,94.7726170886975,94.376866160108,94.5725490635077,94.7399978637695,
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,99.2699966430664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,77.7399978637695,,,,,,,,,,87.8000030517578,,,,,,,,,,92.6699981689453,,,,,,,,,,96.0899963378906,,,,,,,,,,,,,,
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.810001373291,,,,,,,55.3199996948242,,,,,66.5599975585938,,,,,64.9100036621094,,,
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5800018310547,,,,,,,,,,,,81.1900024414062,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,18.2399997711182,,,,,,,,,,,,,33.6199989318848,,,,,,,,,,,,50.6500015258789,,,,,,,,,,,,,,,,,,,42.439998626709,,,,,,
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,97.9700012207031,97.9899978637695,98.0100021362305,98.0500030517578,98.0800018310547,98.1100006103516,98.1500015258789,98.2300033569336,98.2900009155273,98.3600006103516,98.4199981689453,98.4700012207031,98.5199966430664,98.5699996948242,,,,,,,,,,,,,,,,,,,,99.3099975585938,99.3300018310547,99.3499984741211,99.370002746582,99.4199981689453,99.4400024414062,99.4499969482422,99.4700012207031,99.4800033569336,99.4899978637695,99.5,
Switzerland,CHE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,91.129997253418,,,,,,,,,,94.2900009155273,,,,,,,,,,95.7200012207031,,,,,,,,,96.6999969482422,,96.2699966430664,,96.870002746582,,96.4000015258789,,,,,,,,
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,65.5100021362305,,,,,,,,77.7900009155273,,,,,,,,,,90.9199981689453,,,,,,,,,,95.120002746582,,,,,,,,,,96.7399978637695,,,,,
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1399993896484,,,,,,,,,,36.3499984741211,,48.7400016784668,,,,,,,,,,,,,,43.9099998474121,,50.0400009155273,,,56.9592400560829,,50,,,,
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,41.2200012207031,,,,,,,,,,,,,,,,,,,,,,,,68.4100036621094,,,,,,,70.6800003051758,,,71.1900024414062,,,,,,,,72.5500030517578,,,,,,,
"Congo, Dem. Rep.",COD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.1699981689453,,,,,,,,,,,75.0199966430664,,,,77.0400009155273,,73.5500030517578,,65.6828744335957,,,68.5,,
"Congo, Rep.",COG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,59.6199989318848,,,,,,,,,,,,,,,,,,,,,76.1100006103516,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0599975585938,,,91.2099990844727,,,,,,,,92.8000030517578,92.8499984741211,92.3000030517578,92.6500015258789,93.379997253418,93.2399978637695,93.370002746582,93.5800018310547,,,94.1900024414062,94.25,94.6500015258789,94.8873885601748,95.0899963378906,95.25,95.6399993896484,95.6606500324449,95.31030793,95.4566254983696,95.3399963378906,
Comoros,COM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,47.9199981689453,,,,,,,,,,,,,,,,,,,,68.25,,,,,,,,,,,,,,73.6494960644007,,,,,,,75.6201980162165,,,,
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7999992370605,,,,,,,,,,,,,,,,,,,82.2189574366152,,,85.3300018310547,,,86.7900009155273,,,,,,,,,88.4700012207031,
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,92.629997253418,,,,,,,,,,,,,,,,94.870002746582,,,,,,,,,,,97.4100036621094,,,,,,,,,,,,,,
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8099975585938,86.870002746582,87.1699981689453,87.4700012207031,87.7600021362305,88.0500030517578,88.3399963378906,88.620002746582,88.879997253418,89.1500015258789,89.4100036621094,89.6500015258789,89.9499969482422,90.1500015258789,90.75,91.0199966430664,,,,,,,,,,,,,,,,,
Cuba,CUB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,97.8499984741211,,,,,,,,,,,,,,,,,,,,,99.8000030517578,,,,,,,,,,99.6699981689453,,,,,,,97.6500015258789,,,,,,
Curacao,CUW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.870002746582,,,,,,,,,,98.870002746582,,,,,,,,
Cyprus,CYP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.3600006103516,,,,,,,,,96.8000030517578,,,,,,,,,,98.6800003051758,,,,,,,,,,,,,,
Czechia,CZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,73.0599975585938,,,,,,,,,,,,,,,,,,,,,87,,,,,88.2399978637695,,,89.5400009155273,90.1100006103516,90.1600036621094,90.8600006103516,91.7600021362305,91.9899978637695,93.7799987792969,93.2332153385684,93.4360584896058,93.6726916249429,93.6926372060753,93.7309714425844,93.7022375646963,94.3123758236054,94.0299987792969,
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6300010681152,,,,,,,,,,,,,,,69.870002746582,,,,72.6500015258789,,75.1399993896484,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,63.8600006103516,64.0299987792969,65.2200012207031,66.5699996948242,67.7799987792969,68.9199981689453,69.9700012207031,70.9800033569336,72.0599975585938,73.0800018310547,74,75.2200012207031,79.4199981689453,80.0999984741211,80.7300033569336,81.2900009155273,81.8199996948242,82.3099975585938,82.870002746582,83.4300003051758,83.9300003051758,89.5100021362305,89.879997253418,90.1800003051758,90.5500030517578,90.8899993896484,91.2399978637695,91.5800018310547,91.9000015258789,92.2200012207031,92.5699996948242,93.7799987792969,94.0800018310547,94.3600006103516,94.4100036621094,94.629997253418,94.8600006103516,94.9300003051758,95.3399963378906,95.5400009155273,95.7399978637695,95.9300003051758,95.9499969482422,96.0999984741211,96.3099975585938,96.4499969482422,96.5899963378906,96.7200012207031,96.8499984741211,
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,48.7299995422363,48.9599990844727,49.5800018310547,50.2200012207031,50.810001373291,51.4099998474121,52.0099983215332,52.6399993896484,53.25,54.060001373291,54.689998626709,55.3199996948242,56.1699981689453,56.8699989318848,57.560001373291,58.4199981689453,59.1199989318848,59.9799995422363,60.8199996948242,61.6199989318848,62.4799995422363,63.2400016784668,63.9900016784668,66.9899978637695,67.6900024414062,68.4400024414062,69.0100021362305,69.6699981689453,70.6100006103516,71.2799987792969,71.2900009155273,71.3000030517578,72.2799987792969,73.129997253418,73.879997253418,75.3499984741211,75.7600021362305,76.0299987792969,76.7099990844727,77.5,78.4100036621094,79.0800018310547,79.3300018310547,79.6800003051758,79.7900009155273,80.3000030517578,80.7099990844727,81.2399978637695,81.6800003051758,82.0999984741211,
East Asia & Pacific,EAS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,65.9899978637695,66.1999969482422,67.2900009155273,68.5199966430664,69.6100006103516,70.6399993896484,71.6100006103516,72.5299987792969,73.5100021362305,74.4300003051758,75.2600021362305,76.4100036621094,80.1399993896484,80.7600021362305,81.3300018310547,81.8399963378906,82.3300018310547,82.7699966430664,83.3000030517578,83.8399963378906,84.3000030517578,89.2699966430664,89.629997253418,89.9499969482422,90.3099975585938,90.629997253418,90.9800033569336,91.3499984741211,91.6800003051758,92.0199966430664,92.370002746582,93.5100021362305,93.8199996948242,94.0899963378906,94.0800018310547,94.3000030517578,94.5400009155273,94.620002746582,95.0899963378906,95.3000030517578,95.5,95.6900024414062,95.7300033569336,95.870002746582,96.0899963378906,96.2200012207031,96.3600006103516,96.4899978637695,96.6100006103516,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.1800003051758,92.2799987792969,92.5199966430664,92.7699966430664,93.0100021362305,93.2200012207031,93.4300003051758,93.6399993896484,93.9599990844727,94.1600036621094,94.4599990844727,94.6699981689453,95.0299987792969,95.1800003051758,95.3300018310547,95.4599990844727,95.5599975585938,95.8399963378906,95.7300033569336,95.9000015258789,96.0199966430664,96.8499984741211,97.4199981689453,97.870002746582,98.129997253418,98.2099990844727,98.2900009155273,98.3600006103516,98.4800033569336,98.5899963378906,98.6600036621094,98.8000030517578,98.8300018310547,98.870002746582,98.9100036621094,98.9599990844727,99.0199966430664,
Europe & Central Asia,ECS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8000030517578,95.9499969482422,96.129997253418,96.2600021362305,96.4199981689453,96.5400009155273,96.6399993896484,,96.9000015258789,96.9899978637695,97.0699996948242,97.1900024414062,97.25,97.3300018310547,97.4499969482422,97.7099990844727,97.870002746582,98.0199966430664,98.120002746582,98.1800003051758,98.2200012207031,98.2699966430664,98.3300018310547,98.4100036621094,98.5,98.5699996948242,98.6100006103516,98.7399978637695,98.75,98.7699966430664,,
Ecuador,ECU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,83.5500030517578,,,,,,,,88.3000030517578,,,,,,,,,,,90.9800033569336,,,,,,92.0999984741211,92.3899993896484,92.25,91.8499984741211,91.5899963378906,92.0599975585938,93.2900009155273,94.2200012207031,94.4599990844727,94.3499984741211,92.8300018310547,,,93.629997253418,94.4800033569336,96.2600021362305,,93.4899978637695,
"Egypt, Arab Rep.",EGY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,38.2000007629395,,,,,,,,,,44.4199981689453,,,,,,,,,,55.5900001525879,,,,,,,,,67.3300018310547,66.370002746582,,,,72.0500030517578,,73.870002746582,72.4400024414062,,,,71.1699981689453,,,,82.0803858167894,79.4531619498685,,,
Euro area,EMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
